Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,QLD,Townsville,Townsville,Northern Beaches,0,1,1,0,2,0.0,0.5,0.5,0.0
2021-06-30,QLD,Townsville,Townsville,Oonoonba,3,2,1,0,6,0.5,0.16666666666666666,0.3333333333333333,0.0
2021-06-30,QLD,Townsville,Townsville,Townsville City - North Ward,6,2,4,5,17,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.29411764705882354
2021-06-30,QLD,Wide Bay,Bundaberg,Bargara - Burnett Heads,1,2,0,0,3,0.3333333333333333,0.0,0.6666666666666666,0.0
2021-06-30,QLD,Wide Bay,Bundaberg,Bundaberg,17,1,11,7,36,0.4722222222222222,0.3055555555555556,0.027777777777777776,0.19444444444444445
2021-06-30,QLD,Wide Bay,Bundaberg,Bundaberg East - Kalkie,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,QLD,Wide Bay,Bundaberg,Bundaberg North - Gooburrum,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,QLD,Wide Bay,Bundaberg,Bundaberg Surrounds - South,4,2,3,1,10,0.4,0.3,0.2,0.1
2021-06-30,QLD,Wide Bay,Bundaberg,Millbank - Avoca,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,QLD,Wide Bay,Bundaberg,Walkervale - Avenell Heights,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,QLD,Wide Bay,Burnett,Gayndah - Mundubbera,5,3,4,1,13,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693
2021-06-30,QLD,Wide Bay,Burnett,Gin Gin,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,QLD,Wide Bay,Burnett,Kingaroy,6,1,5,1,13,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693
